path	pages	chars	status
drafts/2026-07-16_Heath_policy-brief_email_DRAFT.md	0	8682	OK
drafts/2026-07-17_Form29-recipient_two-emails_DRAFT.md	0	2957	OK
drafts/2026-07-17_QSuper_Beck_reply_DRAFT.md	0	5714	OK
drafts/2026-07-28_IO_email_and_background.md	0	4542	OK
drafts/2026-07-28_IO_intro-call_email_and_prep.md	0	4874	OK
drafts/2026-07-28_IO_meeting_ONE-PAGER.md	0	3728	OK
drafts/2026-07-29_HR_clarification_special-leave_FINAL.md	0	4378	OK
drafts/2026-07-30_HR_response_FINAL_letter.txt	0	13546	OK
drafts/2026-07-30_HR_response_OPTIMISED_1150.txt	0	8863	OK
drafts/ALTIUS_CALL_SCRIPT.txt	0	7870	OK
drafts/ASSESSMENT_METHODOLOGY.txt	0	4949	OK
drafts/ASSESSMENT_UNION_AND_CE.txt	0	8768	OK
drafts/CEILING_SET/01_REPORT_B_INSTRUCTION_LETTER.txt	0	3659	OK
drafts/CEILING_SET/02_REPORT_A_SCOPE_NOTE.txt	0	992	OK
drafts/CEILING_SET/03_STAGE2_REFERRAL_EMAIL.txt	0	668	OK
drafts/CEILING_SET/04_IP_ACCESS_APPLICATION.txt	0	2017	OK
drafts/CEILING_SET/05_RTI_APPLICATION.txt	0	1166	OK
drafts/CEILING_SET/06_CALDERBANK3_SKELETON.txt	0	1877	OK
drafts/CEILING_SET/07_WITNESS_ACCOUNT_PROMPTS.txt	0	1278	OK
drafts/CEILING_SET/08_RUNWAY_ACTION_SHEET.txt	0	1138	OK
drafts/CE_FOLLOWUP_s89_authorisation.txt	0	4095	OK
drafts/CONSULTATION_PROPOSALS.txt	0	8897	OK
drafts/CONSULT_PREP_KRISHNAIAH.txt	0	8231	OK
drafts/Calderbank_HELD_TEMPLATE.md	0	6982	OK
drafts/EMAILS_TO_PASTE_DOCTOR_BOOKINGS.txt	0	14894	OK
drafts/EMAILS_TO_PASTE_PROVIDER_ENQUIRY.txt	0	5800	OK
drafts/EMAIL_TO_UNION_SHORT.txt	0	5640	OK
drafts/EMAIL_TO_UNION_context_and_assessment.txt	0	9349	OK
drafts/EXTERNAL_DRAFT_WHS_letter_QUARANTINED.md	0	11904	OK
drafts/FINAL_VALIDATION_AND_RED_TEAM_v5.1.md	0	9000	OK
drafts/FUNDING_MIRROR_ASSESSMENT_EMAIL.txt	0	7344	OK
drafts/GRACIOUS_REGISTER.txt	0	2778	OK
drafts/MATHESON_CHILD_MATERIAL_EMAIL.txt	0	9291	OK
drafts/OUTLINE_OF_ARGUMENT_v1_ARCHITECTURE.md	0	18563	OK
drafts/PROVIDER_QUOTE_ENQUIRY.txt	0	5776	OK
drafts/PSYCHIATRIST_BUNDLE_12AUG.md	0	14512	OK
drafts/PSYCHOSOCIAL_MAPPING_WHS.txt	0	8592	OK
drafts/REPLY_TAYLOR_4AUG_ALIGNED.txt	0	8199	OK
drafts/REPLY_TAYLOR_4AUG_FINAL.txt	0	6671	OK
drafts/REPLY_TAYLOR_4AUG_FULL.txt	0	6036	OK
drafts/REPLY_TAYLOR_4AUG_leave_consent.txt	0	4065	OK
drafts/SEND_30JUL/FINAL_30JUL_EMAIL.md	0	2323	OK
drafts/SEND_30JUL/FINAL_30JUL_EMAIL_BODY.txt	0	15307	OK
drafts/SEND_30JUL/SEND_CHECKLIST_30JUL.md	0	1988	OK
drafts/SEND_31JUL/CHANGELOG_1AUG.md	0	5508	OK
drafts/SEND_31JUL/DISPUTE_NOTICE_cl1.11_STAGE1.txt	0	16173	OK
drafts/SEND_31JUL/EMAILS_TO_PASTE_3AUG.txt	0	9187	OK
drafts/SEND_31JUL/FWA_REQUEST_cl10.3.txt	0	19033	OK
drafts/SEND_31JUL/LETTER_CONFLICT_AND_INFORMATION.txt	0	17300	OK
drafts/SEND_31JUL/MASTER_SEND_PACK.md	0	17502	OK
drafts/SEND_31JUL/NOTE_FOR_DR_MA.txt	0	6237	OK
drafts/SEND_31JUL/NOTICE_OF_APPOINTMENTS_AND_COSTS.txt	0	5869	OK
drafts/SEND_31JUL/PETERING_URGENT_EMAIL.txt	0	4426	OK
drafts/SEND_31JUL/PROPOSAL_RETURN_TO_WORK.txt	0	12280	OK
drafts/SEND_31JUL/RFMI_ALLOCATION_AND_PROPOSAL.txt	0	33850	OK
drafts/SEND_31JUL/RFMI_RESPONSE_EMAIL.txt	0	4868	OK
drafts/SEND_31JUL/SEND_CHECKLIST_31JUL.md	0	8745	OK
drafts/SEND_31JUL/SUPERSEDED_single-letter-draft.txt	0	25814	OK
drafts/SEND_31JUL/build_alloc_pdf.py	0	9707	OK
drafts/SEND_31JUL/build_annotated_schedule.py	0	20311	OK
drafts/SEND_31JUL/build_clinician_forms.py	0	14909	OK
drafts/SEND_31JUL/build_email_pdfs.py	0	3957	OK
drafts/SEND_31JUL/build_letters.py	0	8395	OK
drafts/STAGE1_MEETING_RECORD_PROTOCOL.txt	0	2342	OK
drafts/STAGE2_REFERRAL_DRAFT.txt	0	5736	OK
drafts/VALIDATION_REPORT_v5R.md	0	4961	OK
drafts/WC2024-227_Rule64G_FILING_v5R_FINAL.pdf	7	18227	OK
drafts/WC2024227_Rule64G_Draft_Order.pdf	1	3127	OK
drafts/WC2024227_Rule64G_Draft_Order_12June_CLEAN.pdf	1	3944	OK
drafts/WC2024227_Rule64G_FILING_v5.1_FINAL_CLEAN.pdf	8	38283	OK
drafts/WC2024227_Rule64G_FILING_v5_FINAL_original.pdf	8	37939	OK
drafts/build_disclosure_list.py	0	11682	OK
drafts/build_master_log.py	0	45260	OK
drafts/out/ANNOTATED_SCHEDULE_MSH-INJ-5795.pdf	4	15072	OK
drafts/out/Assessment_Methodology_Proposal_Shepherd_Aug2026.pdf	2	4325	OK
drafts/out/Attachment_1_Duty_Restriction_Mapping_MSH-INJ-5795.pdf	1	2487	OK
drafts/out/Attachment_2_Psychosocial_Hazard_Identification_MSH-INJ-5795.pdf	1	2137	OK
drafts/out/CEILING_SET/00_CEILING_SET_INDEX.pdf	1	3826	OK
drafts/out/CEILING_SET/01_Letter_of_Instruction_Report_B.pdf	1	3467	OK
drafts/out/CEILING_SET/02_Report_A_Scope_Note.pdf	1	994	OK
drafts/out/CEILING_SET/03_Stage2_Referral_Email.pdf	1	728	OK
drafts/out/CEILING_SET/04_IP_Act_Access_Application.pdf	1	1964	OK
drafts/out/CEILING_SET/05_RTI_Application.pdf	1	1119	OK
drafts/out/CEILING_SET/06_Calderbank_3_Skeleton_INTERNAL.pdf	1	1910	OK
drafts/out/CEILING_SET/07_Witness_Account_Prompts_PRIVATE.pdf	1	1305	OK
drafts/out/CEILING_SET/08_Runway_Action_Sheet.pdf	1	1146	OK
drafts/out/Consultation_Proposals_Shepherd_Aug2026.pdf	3	8095	OK
drafts/out/Duty_Restriction_Mapping_MSH-INJ-5795.pdf	1	2218	OK
drafts/out/EMAIL_1_Response_HR_3Aug2026.pdf	2	4981	OK
drafts/out/EMAIL_2_Request_HR_3Aug2026.pdf	1	905	OK
drafts/out/EMAIL_3_Dispute_Taylor_HR_3Aug2026.pdf	1	943	OK
drafts/out/EMAIL_4_CE_3Aug2026.pdf	1	1341	OK
drafts/out/ENCLOSURE_A_RFMI_31July2026_signature_page.pdf	1	2131	OK
drafts/out/ENCLOSURE_B_RFMI_31July2026_question3_extract.pdf	1	1386	OK
drafts/out/ENCLOSURE_C_ECC_3July2026_page1.pdf	1	0	NO_TEXT_LAYER
drafts/out/ENCLOSURE_D_email_2July2026.pdf	2	2528	OK
drafts/out/FORM_A_GP_DrMa_MSH-INJ-5795.pdf	2	4806	OK
drafts/out/FORM_B_Psychiatrist_Krishnaiah_MSH-INJ-5795.pdf	3	6618	OK
drafts/out/LETTER_Conflict_and_Information_Handling_MSH-INJ-5795.pdf	4	16005	OK
drafts/out/LIST_OF_DOCUMENTS_WC2024227.pdf	2	12141	OK
drafts/out/MASTER_LOG_PID_to_5Aug2026.pdf	9	53466	OK
drafts/out/NOTICE_Appointments_and_Costs_MSH-INJ-5795.pdf	2	5636	OK
drafts/out/NOTICE_OF_DISPUTE_cl1.11_Stage1.pdf	4	15361	OK
drafts/out/PROPOSAL_Return_to_Work_MSH-INJ-5795.pdf	3	11993	OK
drafts/out/Psychosocial_Assessment_Package_Integrated_Shepherd_Aug2026.pdf	4	22526	OK
drafts/out/Psychosocial_Hazard_Identification_MSH-INJ-5795.pdf	1	2000	OK
drafts/out/Psychosocial_Hazard_Mapping_WHS_Shepherd_Aug2026.pdf	2	7865	OK
drafts/out/Psychosocial_WHS_Risk_Report_Switchboard_Aug2026.pdf	2	10873	OK
drafts/out/REQUEST_Change_in_the_way_I_work_cl10.3_MSH-INJ-5795.pdf	5	18584	OK
drafts/out/RESPONSE_Stage1_Dispute_and_Leave_MSH-INJ-5795.pdf	4	13545	OK
drafts/out/RFMI_Response_and_Allocation_MSH-INJ-5795.pdf	8	33932	OK
drafts/out/SUBMISSION_Delegate_to_Together_Switchboard_Assessment.pdf	2	7012	OK
drafts/out/Shepherd_Documents_MSH-INJ-5795_3Aug2026.pdf	26	101495	OK
drafts/out/Shepherd_response_30July2026_MSH-INJ-5795.pdf	4	13133	OK
evidence-index/01-FINISHED-APPEAL.md	0	5460	OK
evidence-index/QIRC-REG-FILED-FORMS.md	0	4024	OK
evidence-index/README.md	0	2343	OK
evidence-index/communications-register.md	0	9499	OK
evidence-index/decision-table-July-2026.md	0	5889	OK
evidence-index/sources-text/2026-06-05_MSH_Objection_KLM26-729.txt	0	14092	OK
evidence-index/sources-text/2026-07-30_1433_Harrison_holding_reply_FULL.txt	0	1280	OK
evidence-index/sources-text/Amended_Form_9A_07.04.2026.txt	0	4807	OK
evidence-index/sources-text/Calderbank_SENT_2026-07-01.txt	0	6322	OK
evidence-index/sources-text/Form4_64G_covering_email_23.06.2026.txt	0	2155	OK
evidence-index/sources-text/Regulator_SOFC_13.05.2026.txt	0	5136	OK
evidence-index/sources-text/correspondence-bodies.md	0	61089	OK
lodgement/PRE-LODGEMENT-CHECKLIST.md	0	5586	OK
lodgement/WC2024227_Draft_Order.pdf	1	3648	OK
lodgement/WC2024227_Draft_Order_FINAL.md	0	8275	OK
lodgement/WC2024227_Draft_Order_FINAL.pdf	3	9009	OK
lodgement/WC2024227_Form20_FINAL.md	0	31977	OK
lodgement/WC2024227_Form20_FINAL.pdf	10	34945	OK
lodgement/WC2024227_Form20_FrontSheet.md	0	1548	OK
lodgement/WC2024227_Form20_FrontSheet.pdf	1	1661	OK
lodgement/WC2024227_Form21_Certificates.md	0	2753	OK
lodgement/WC2024227_Form21_Certificates.pdf	4	3259	OK
lodgement/WC2024227_Form4_FINAL.md	0	37394	OK
lodgement/WC2024227_Form4_FINAL.pdf	12	46111	OK
lodgement/WC2024227_Form_4_Application_Rule_64G.pdf	10	39213	OK
lodgement/_md2html.py	0	6241	OK
lodgement/_stamp.py	0	1913	OK
skill/SKILL.md	0	12188	OK
skill/references/31JUL-error-and-rush-assessment.md	0	11342	OK
skill/references/9C-contradiction-matrix.md	0	7655	OK
skill/references/ALTIUS-RED-TEAM-5AUG.md	0	5485	OK
skill/references/ASSESSMENT-DESIGN-gold-standard.md	0	4259	OK
